service_id,date,exception_type
1,20190519,1
1,20190526,1
10,20190522,1
10,20190524,1
10,20190529,1
11,20190520,1
11,20190521,1
11,20190522,1
11,20190527,1
11,20190528,1
11,20190529,1
11,20190530,1
12,20190524,1
2,20190520,1
2,20190527,1
3,20190525,1
4,20190520,1
4,20190521,1
4,20190522,1
4,20190524,1
4,20190527,1
4,20190528,1
4,20190529,1
4,20190530,1
5,20190521,1
5,20190522,1
5,20190524,1
5,20190525,1
5,20190528,1
5,20190529,1
5,20190530,1
6,20190519,1
7,20190520,1
8,20190521,1
8,20190522,1
8,20190524,1
8,20190528,1
8,20190529,1
8,20190530,1
9,20190520,1
9,20190521,1
9,20190527,1
9,20190528,1
9,20190530,1
